,Unnamed: 0,тема,текст
29,29,дрель-шуруповерт,"добрый день! подскажите пожалуйста, дрель и шуроповерт можно взять в аренду? цена?"
30,30,пароочиститель,"Добрый день, сколько будет стоить аренда пароочистителя?"
31,31,пылесос,"Добрый день, сколько будет стоить аренда строительного пылесоса с мешком для мусора?"
32,32,машина полировальная,Здравствуйте! Хотелось бы арендовать с утра 31.03.2026 на сутки ручную полировочную (шлифмашинку) машинку для полировки кафельной плитки
33,33,торцовочная пила,Здравствуйте. Сколько у вас стоит взять в аренду торцовку самую маленькую?
34,34,лобзик,"Добрый вечер, подскажите пожалуйста, мне нужно выпилить квадратное отверстие в столешнице под мойку и под газовую плитку без духовки, у вас есть электрический или ручной лобзик?"
35,35,торцовочная пила,"Добрый день. Интересует аренда торцовочной пилы, если не сложно дайте информацию по условиям"
36,36,бензорез,Здравствуйте. Подскажите пожалуйста бензорез у вас есть?
37,37,газовый баллон,Добрый день  Интересует газовый баллон литров на 8-12  Можно арендовать?
38,38,нет такого инструмента,"Добрый вечер.  А у вас электроинструменты в аренду есть ?  Пресс клещи, кримпера и тд"
39,39,не вопрос клиента,Здравствуйте
40,40,дрель-шуруповерт,"Здравствуйте! Нужен шуруповерт, завтра в районе 12"
41,41,УШМ,"Здравствуйте! Нужна болгарка, завтра в районе 12"
42,42,бур для перфоратора,"Добрый вечер, у вас есть бур по бетону, 20х600/22х600?"
43,43,УШМ аккумуляторная,Здравствуйте есть ли у вас УШМ на аккумуляторе?
44,44,не вопрос клиента,Здравствуйте
45,45,не вопрос клиента,Добрый вечер. Возможно вас заинтересует покупка Дрель на магнитной станине Milwaukee MDE 42?)
46,46,пылесос,"Добрый вечер. Скажите, сколько стоит аренда строительного пылесоса(уборка квартиры после установки дверей, подвесных потолков). С доставкой инструмента. Район Адмиралтейский. Ул. Набережная обводного канала."
47,47,нет такого инструмента,"Добрый вечер. Скажите, сколько стоит аренда робота мойщика окон. С доставкой инструмента. Район Адмиралтейский. Ул. Набережная обводного канала."
48,48,перфоратор,"Здравствуйте! По чем аренда перфоратора, и есть ли доставка?"
49,49,пылесос,Здравствуйте! Нужен строительный пылесос на завтра
50,50,генератор,"Здравствуйте, в какую цену генератор 3 квт"
51,51,пылесос,Добрый вечер. Что кроме оплаты аренды нужно чтобы оформить аренду строительного пылесоса?
52,52,нет такого инструмента,"Добрый ,есть аппарат для сварки аргоном?"
53,53,лобзик,"Добрый вечер, а лобзик есть?"
54,54,паяльник для ПВХ труб,"Здравствуйте! Скажите, пожалуйста, есть ли у вас в прокате паяльник для сварки полипропиленовых труб и сколько стоит прокат на сутки?"
55,55,УШМ,"Здравствуйте, мне нужно две болгарки. На 3 дня. Какие условия?"
56,56,дрель-шуруповерт,"Здравствуйте, мне нужно шуруповерт. На 3 дня. Какие условия?"
57,57,торцовочная пила,"Здравствуйте, мне нужна торцевочная пила. На 3 дня. Какие условия?"
58,58,перфоратор,"Добрый день, скажите пожалуйста возможно ли у вас взять в аренду перфоратор сегодня на сутки?"
59,59,УШМ аккумуляторная,"Здравствуйте, у вас есть балгарка аккумуляторная?"
60,60,паркетно-шлифовальная машина,"Здравствуйте, можете пожалуйста подобрать инструмент если у вас есть такой. Ситуация: паркет в старом фонде, был покрыт старой оранжевой краской, которая была снята вручную с помощью ленточной шлифмашинки. Сам по себе паркет с перепадами и не очень ровный, в некоторых щелях остались остатки краски. Хочется это все как-то привести в нормальный вид насколько это возможно. К идеальности не стримимся, но хотябы все сверху снять. Боимся что снимем слишком много (не знаю возможно ли это). Прилагаю фото"
61,61,сварочный полуавтомат,Здравствуйте! Сколько стоит аренда сварочного полуавтомата?
62,62,машина полировальная,"Добрый день, есть полировательная машинка?"
63,63,гвоздезабивной пистолет по дереву,"Доброе утро, гвоздизабивной пистолет для вагонки есть у Вас?"
64,64,торцовочная пила,Здравствуйте. Сколько стоит аренда торцовки с диском по алюминию?
65,65,лобзик,"Здравствуйте. Нужен электролобзик на выходные, нахожусь в Сестрорецке. Где у вас ближайший пункт выдачи и какие инструменты доступны?"
66,66,перфоратор,Доброе утро! Подскажите пожалуйста стоить проката перфоратора  на 1 час?
67,67,дрель-шуруповерт,"Здравствуйте! Хотел бы взять дрель , шуруповерт в аренду завтра на день . Сколько это будет стоить ?"
68,68,миксер,Здравствуйте! Хотел бы взять миксер в аренду завтра на день . Сколько это будет стоить ?
69,69,перфоратор,"Добрый день! Подскажите, пожалуйста можно ли сегодня взять перфоратор? И какая будет стоимость?"
70,70,дрель-шуруповерт,"Здравствуйте, нужна дрель или шуруповерт(что дешевле)  и сверло на 6  на пару часов"
71,71,перфоратор,Добрый день! Аренда перфоратора в какую цену?
72,72,гвоздезабивной пистолет по бетону,Добрый вечер а у вас есть газовый монтажный пистолет Toua для электро монтажа?
73,73,нет такого инструмента,Здравствуйте. Есть торцовка комбинированная в прокат ?
74,74,дрель-шуруповерт,Здравствуйте! Сколько будет стоить аренда шуруповерта?
75,75,торцовочная пила,"Здравствуйте! Хотела бы взять в аренду торцовочную пилу. Подскажите, пожалуйста, могу ли завтра? И сколько будет по стоимости?"
76,76,моющий пылесос,Добрый день! Нужен моющий строительный пылесос. Отмыть стены в сервисе от масла. Что посоветуете? Работаете сегодня? На каких условиях аренда?
77,77,паркетно-шлифовальная машина,"Здравствуйте,есть ли у вас напрокат циклевочная машина для пола с"
78,78,УШМ аккумуляторная,"Здравствуйте, у вас есть аккумуляторная болгарка?"
79,79,дрель-шуруповерт,Добрый день! Подскажите сколько в аренду на 1 день будет стоить дрель
80,80,нет такого инструмента,Здравствуйте! Нужен нейлер telegram номер 911 948-78-14
81,81,торцовочная пила,"Здравствуйте , интересует аренда торцовочной пилы с диском для алюминия"
82,82,нет такого инструмента,Здравствуйте. А есть перфоратор и коронка чтоб пробить стену в частном доме под вентканал? Диаметр трубы 100 мм.
83,83,не вопрос клиента,Здравствуйте
84,84,не вопрос клиента,Добрый день!
85,85,дрель-шуруповерт,Здравствуйте! Хотел бы уточнить стоимость аренды шуруповерта на 1 день
86,86,сабельная пила,Добрый день у вас сабельная пила с полотном идёт? Есть полотно под газоблоки?
87,87,дрель-шуруповерт,"Здравствуйте  дрель нужен на прокат, сколько будет стоить на день"
88,88,перфоратор,Добрый день! Какя цена перфоратора?
89,89,паркетно-шлифовальная машина,Здравствуйте подскажите пожалуйста есть ли аренда циклевочной машины
90,90,торцовочная пила,"Здравствуйте, сколько в сутки стоит аренда торцовки с протяжкой?"
91,91,перфоратор,"Добрый день. Хотела бы арендовать на завтра перфоратор на сутки. Какая будет стоимость аренды? Нужна доставка на Магнитогорскую 3к2 (м. Новочеркасская). Также нужны сверла по бетону/кирпичу, если нет в комплекте"
92,92,пылесос,"Здравствуйте, пылесос строительный нужен , какие у вас и сколько стоят ?"
93,93,лобзик,"Здравствуйте, скажите лобзик есть в аренду?"
94,94,подъемник ГКЛ,"Добрый день, какой у вас подъемник ГКЛ для аренды есть? Модель?"
95,95,гвоздезабивной пистолет по дереву,"Здравствуйте! У вас есть для аренды гвоздезабивной пистолет? Нужен для крепления наличников(может ошибаюсь, но вроде есть такие степлеры даже для этих целей)."
96,96,бур для перфоратора,"Здравствуйте. Подскажите, есть ли у вас бур sds plus 32/ 600?"
98,98,перфоратор,Здравствуйте.сегодня можно взять в аренду перфоратор?
99,99,не вопрос клиента,Здравствуйте
100,100,сабельная пила аккумуляторная,Добрый день. Требуется аккумуляторная сабельная пила на сутки. Задача - распил силового кабеля диаметром около 50мм.. порядка 50 распилов. Есть подходящая пила?
101,101,удлинитель электричексий,Здравствуйте. Интересует уличный удлинитель на 3квТ Какая стоимость аренды?
102,102,пылесос,"Добрый день,есть строительные пылесосы в аренду?убрать пыль от штукатурки и бетона с пола"
103,103,перфоратор,Добрый вечер А можно взять в аренду перфоратор? Нужно для снятия старой штукатурки  Можно доставкой до пискаревского проспекта 20?
104,104,не вопрос клиента,Добрый день. Вам алмазные диски не нужны? Не скупаете?
105,105,не вопрос клиента,Добрый день. Возможно вас заинтересует покупка гидравлического насаоса для дальнейшей сдачи его в аренду ?
106,106,лобзик,Здравствуйте! Мне нужен Лобзик у вас имеется в наличии?
107,107,паркетно-шлифовальная машина,"добрый день, у вас есть циклевочная машина в аренду?"
108,108,фен аккумуляторный,"Добрый день. Подскажите, пожалуйста, есть ли у вас в аренду аккумуляторный фен?  Нужно на несколько дней, замки на даче разморозить"
109,109,штроборез,"Здравствуйте,  сколько будет стоить аренда штробореза"
110,110,пылесос,"Здравствуйте,  сколько будет стоить аренда пылесоса"
111,111,краскопульт,"Здравствуйте , можно взять в аренду краскопульт с завтрашнего дня ?"
112,112,дрель-шуруповерт,здравствуйте есть шуруповерт ленточный ?
113,113,не вопрос клиента,тест
114,114,торцовочная пила,Здравствуйте. Есть на завтра торцовка с 255 диском? Сколько аренда на сутки и какие условия аренды?
115,115,перфоратор,"Здравствуйте!  Мне нужно в съемной квартире 2 полки установить, поэтому в поисках дрели.  Мне на пару часов буквально потребуются)  Сколько это по стоимости у вас выйдет?"
116,116,дрель-шуруповерт,"Здравствуйте!  Мне нужно в съемной квартире 2 полки установить, поэтому в поисках шуруповерта.  Мне на пару часов буквально потребуются)  Сколько это по стоимости у вас выйдет?"
117,117,паркетно-шлифовальная машина,здравствуйте. есть шлифмашинки для реставрации пола на какой-то из выходных дней?
118,118,УШМ,Доброе утро! Можно у вас взять болгарку (ушм) на два дня? Сколько будет стоить? И нужен ли залог?
119,119,пила дисковая,"Здравствуйте, есть в аренду циркулярная плита с углом поворота ? Сколько стоит ?"
121,121,торцовочная пила,"Здравствуйте, хотела бы арендовать торцовочную пилу. Подскажите, можно ли взять доставкой?"
122,122,пила погружная,Доброе утро. Пила погружная с направляющими у вас найдется?  Спасибо
123,123,отбойный молоток,Добрый вечер! Будет ли возможность забронировать перфоратор с зубилом(если имеется) на 11.02 или 12.02 с доставкой ?
124,124,не вопрос клиента,Привет
125,125,паркетно-шлифовальная машина,Здравствуйте. У вас есть аренда циклевочной машины для паркета?
126,126,не вопрос клиента,Добрый день. Заключение договора на аренду с пропиской в СПБ?
127,127,перфоратор,"Здравствуйте, нужен перфоратор в аренду. 2 отверстия сделать"
128,128,генератор,"Добрый день! Подскажите стоимость аренды генераторов. Нам нужен один генератор 5 кВт, и 2 генератора по 3 кВт. дата 21 февраля, время с 10:00 до 16:00  Подскажите сразу по стоимости бензина и доставки, адрес ул. Турку 23к1"
129,129,машина полировальная,Добрый день  Подскажите пожалуйста  Есть у вас в наличии полировальная машинка ?
130,130,нейлер пневматический,Добрый вечер! Подскажите пожалуйста стоимость аренды пневматического степлера?
131,131,компрессор,Добрый вечер! Подскажите пожалуйста стоимость аренды компрессора?
132,132,гвоздезабивной пистолет по бетону,"Здравствуйте, есть гвоздезабивной пистолет по бетону ? Нужен на 80 грибы"
133,133,не вопрос клиента,Здравствуйте
134,134,вопрос по режиму работы,Добрый день ! Вчера брал сабельную пилу  До которого часа не обходимо сегодня вернуть?   89219347466 Джабаров Арзу
135,135,дрель-шуруповерт,"Здравствуйте, аренда дрели сколько стоит?"
136,136,сварочный аппарат,"Здравствуйте, есть ли сварочный аппарат и какая цена?"
137,137,не вопрос клиента,"звонила, пишу для сохранения! не обращайте внимания"
138,138,нет такого инструмента,Здравствуйте ! У вас есть пила по камню диаметра 80?
139,139,фен аккумуляторный,"Добрый день, подскажите у вас есть строительный фен  аккумуляторный?"
140,140,перфоратор,Добрый день перфоратор в аренду сколько будет стоить на день?
141,141,фен аккумуляторный,Добрый вечер! А есть аккумуляторный фен?
142,142,машина полировальная,Добрый день! Есть или к Вас в наличии полировальная машина с регулировкой оборотов?
143,143,фен,Здравствуйте! У вас есть строительные фены в аренду?
144,144,лазерный уровень,"Здравствуйте, сколько стоит аренда лазерного уровня?"
145,145,дрель-шуруповерт,"Здравствуйте, сколько будет стоить аренда дрели на пару часов?"
146,146,жираф,"Добрый день. Подскажите, есть ли в наличии машинка для шлифовки стен и потолков, стоимость аренды и залога?"
147,147,не вопрос клиента,Здравствуйте
148,148,дрель-шуруповерт,"Здравствуйте, подскажите пожалуйста, нам нужен в аренду шуроповерт и шестигранный ключ ( но только больше универсального, для разбора дивана). Сколько это будет стоить по цене, если арендовать его у вас на сутки, с 18:00"
149,149,миксер,"Здравствуйте, сколько стоит аренда строительного миксера?"
150,150,виброплита,добрый вечер! есть у вас трамбовка с доставкой?
151,151,перфоратор,Здравствуйте нужен перфоратор сколько стоит прокат? Хотим установить кронштейн
152,152,миксер,"Здравствуйте, сколько стоит аренда миксера строительного"
153,153,пылесос,"Здравствуйте, сколько стоит аренда строительного пылесоса"
154,154,не вопрос клиента,Здравствуйте
155,155,дрель-шуруповерт,"Здравствуйте, сколько будет стоит шуруповерт?"
156,156,нет такого инструмента,"Здравствуйте, у вас есть набор инструментов: пассатижи, гаечный ключ ?"
157,157,не вопрос клиента,Здравствуй
158,158,нет такого инструмента,Добрый вечер. Нужна торцевая пила со столом.
159,159,фрезер,Добрый вечер. Нужен фрезер для монтажа МК дверей. Есть по наличию?
160,160,торцовочная пила,Здравствуйте. Подскажите пожалуйста стоимость торцовочной пилы на сутки и есть ли диск по алюминию
161,161,паркетно-шлифовальная машина,Доброе утро. Хочу взять напрокат ципливочную машину. Какая стоимость за сутки?
162,162,торцовочная пила,"Здравствуйте, можно взять в аренду торцевую пилу ?"
163,163,дрель-шуруповерт,Здравствуйте  Аренда шуруповерта какая стоимость? Залог?
164,164,пылесос,Добрый день! Подскажите стоимость аренды пылесоса в час?
165,165,лестница-трансформер,"Здравствуйте,в какую цену арендовать лестницу трансформер на сутки?"
166,166,не вопрос клиента,Сообщение удалено
167,167,шлифовальная машина,"Добрый день! Подскажите, есть ли в аренду шлиф машина? Сколько стоит взять на день?"
168,168,пылесос,"Добрый день! Подскажите, есть ли в аренду пылесос? Сколько стоит взять на день?"
169,169,нет такого инструмента,Здравствуйте. Интересует шиногиб ручной. Есть такое в прокат?
170,170,нет такого инструмента,"Здравствуйте, подскажите нет ли у вас аккумуляторной пилы?"
171,171,торцовочная пила,Здраввствуйте !  Интересует настольная пила в аренду есть что то ?  Наподобие такого:
172,172,паркетно-шлифовальная машина,Добрый день. Сколько будет стоить аренда циклевлчной машины? Какая модель у вас?
173,173,УШМ,"Добрый день, есть в аренду болгарка 230 мм?"
174,174,перфоратор,Добрый вечер Интересует на завтра аренда перфоратора на сутки
175,175,пила дисковая,"Здравствуйте, нужна цирц пила на сутки. Завтра можно взять в аренду?"
176,176,пушка газовая,"Добрый вечер, подскажите пожалуйста, газовую пушку завтра с утра можно взять на сутки? Сколько будет стоить?"
177,177,дрель для алмазного бурения,"Здравствуйте, у вас есть дрель с микро ударом для подразетников ?"
178,178,сварочный полуавтомат,"Здравствуйте ,сколько стоит на прокат сварочник полуавтомат  с баллоном?"
179,179,УШМ,"Здравствуйте , большая болгарка интересует на 5 дней"
180,180,не вопрос клиента,Здравствуйте
181,181,УШМ,Добрый день у вас есть болгарка 250 с кожухом забора пыли?
182,182,лестница,"Здравствуйте, сколько стоит аренда шести ступенчатой стремянки ?"
183,183,фрезер,"Добрый день, не дозвонился вам. Скажите, фрезер можно взять в аренду? И какая у него цанга, 8 или 12мм, есть ли параллельный упор?"
184,184,торцовочная пила,Добрый вечер. Тарчовка не освободилась?
185,185,не вопрос клиента,"Добрый день!  Вы даёте платные консультации?  Планируем запустить в нашем городе Нижникамске бизнес, подобный вашему. Есть время, место и возможность. Но чтобы не распыляться и быть максимально эффективными уже на старте, нам нужны ответы на некотрые вопросы.  Список из 5-10 самых интересных позиции для проката.  Тарифы аренды на указанных выше позиции.  Условия предоставления оборудования в аренду.  Сколько будут стоить ответы на мои вопросы?  Заранее спасибо, за обратную связь!"
186,186,краскопульт,здравствуйте  а сколько стоит аренда краскопульта? на 3 дня
187,187,торцовочная пила,Сколько будет стоить пила торцовочная за сутки?
188,188,лобзик,Здравствуйте! подскажите сколько будет стоить лобзик в аренду
189,189,пылесос,"Добрый вечер, интересует строительный пылесос на завтра"
190,190,не вопрос клиента,Добрый вечер
191,191,УШМ,"Здравствуйте, хочу узнаь стоимость аренды болгарки ?"
192,192,вопрос по режиму работы,Здравствуйте. Работаете?
193,193,лазерный уровень,"Здравствуйте,  Будет ли в наличии лазерный нивелир на сутки в пятницу? И что по стоимости?"
194,194,миксер,Добрый день! Нужны в аренду: Строительный миксер
195,195,штроборез,Добрый день! Нужны в аренду: Штроборез
196,196,перфоратор,Добрый день! Нужны в аренду: Перфоратор
197,197,подъемник ГКЛ,Здравствуйте. Хочу арендовать у вас подьемник для глк на 6-7 января.
198,198,вопрос по режиму работы,"Здравствуйте,работаете?"
199,199,пила дисковая,Здравствуйте! Сколько стоит аренда паркетки?
200,200,перфоратор,Добрый день!  Подскажите стоимость аренды перфоратора  ?)
201,201,вопрос по режиму работы,"Здравствуйте,вы завтра работаете?"
202,202,дрель-шуруповерт,"Добрый вечер! Мне нужны инструменты: шуруповёрт. У вас есть такое, если да, то сколько это будет стоить?"
203,203,перфоратор,"Добрый вечер! Мне нужны инструменты: перфоратор. У вас есть такое, если да, то сколько это будет стоить?"
204,204,лазерный уровень,"Добрый вечер! Мне нужны инструменты: уровень. У вас есть такое, если да, то сколько это будет стоить?"
205,205,не вопрос клиента,Здравствуйте
206,206,перфоратор,Добрый день! Подскажите можно взять в аренду перфоратор на сегодня? Сколько будет стоить?
207,207,не вопрос клиента,Здравствуйте
208,208,дрель-шуруповерт,Здравствуйте! Сколько у вас стоит аренда дрели по часам?
209,209,пылесос,Добрый день. Интересует строительный пылесос. На сутки
210,210,не вопрос клиента,Здравствуйте
211,211,торцовочная пила,"Добрый день!  Подскажите, пожалуйста, можно ли арендовать торцовочную пилу? Необходима на один день, субботу.  Адрес: проспект Энгельса дом 29 корпус 1   Необходимо с доставкой"
212,212,дрель-шуруповерт,здравствуйте! почем аренда шуроповерта ?
213,213,не вопрос клиента,Здравствуйте
214,214,лестница,Какая стоимость завтра в 7 утра арендовать  лестницу?
215,215,перфоратор,"Добрый день, уточните, пожалуйста, стоимость аренды дрели или перфоратора на пару часов, необходимо повесить зеркало, для этого нужно просверлить отверстие в стене"
216,216,не вопрос клиента,Добрый день.
217,217,дрель-шуруповерт,"Здравствуйте, нужен шуруповерт и молоток"
218,218,паркетно-шлифовальная машина,"Здравствуйте, а есть машинка для циклевки паркета ?"
219,219,перфоратор,"Добрый день, хотим арендовать у вас инструмент нужно повесить штангу для одежды в шкаф из ЛДСП"
220,220,вопрос по режиму работы,"Здравствуйте, вы завтра работаете?"
221,221,перфоратор,"Здравствуйте, подскажите пожалуйста, можно ли у вас взять в прокат перфоратор на сутки?"
222,222,лампа Лосева,"Здравствуйте , лампа Лосева имеется ?"
223,223,дрель-шуруповерт,"Здравствуйте, сколько будет стоить аренда шуруповерта? И есть ли у вас возможность давать сверло?"
225,225,торцовочная пила,Здравствуйте интересует аренда торцевой  пилы
226,226,дрель-шуруповерт,Здравствуйте а у вас нету шуруповерта в аренду ?
227,227,жираф,"Здравствуйте, есть шлифовочная машина?"
228,228,лампа Лосева,"Здравствуйте, есть лампа Лосева?"
229,229,пылесос,"Здравствуйте, есть пылесос?"
230,230,фрезер,"Здравствуйте, подскажите пожалуйста, какая модель мне лучше подойдет?  Задача - максимально быстро и как можно тише просверлить дерево не насквозь, а сделать просто углубление сверлом DeWalt Extreme Impact. Углубление диаметром 13мм и длиной 7см примерно  Тишина и скорость сверления находятся на одном уровне"
231,231,лампа Лосева,Добрый день! Лампа Лосева у Вас есть?
232,232,нет такого инструмента,Добрый вечер? Есть ли у вас в аренду КСГ - 705 Пистолет для цементного раствора
233,233,не вопрос клиента,Здравствуйте
234,234,не вопрос клиента,Здравствуйте
235,235,не вопрос клиента,Здравствуйте
236,236,перфоратор,Добрый вечер  Сколько будет стоить аренда перфоратора ?
237,237,вопрос по режиму работы,"Добрый вечер, пара вопросов: время аренды оплачивается сразу при получении, или  после возврата по фактическому времени в пользовании. И смогу ли я арендовать инструмент будучи несовершеннолетним (17 лет)?"
238,238,перфоратор аккумуляторный,"Добрый,мне нужен перфоратор аккумуляторный"
239,239,нет такого инструмента,"Здравствуйте, у вас есть в наличии дрель crown, хотел бы завтра подъехать, забрать"
240,240,торцовочная пила,"Торцовочная пила с протяжкой есть в наличии? Нужна будет в пятницу, где-то до понедельника"
241,241,нет такого инструмента,Добрый вечер. Интересует аренда ленточный пилы. Прошу указать марку и модель и стоимость.
242,242,торцовочная пила,Добрый вечер. Интересует аренда торцовочной пилы. Прошу указать марку и модель и стоимость.
243,243,лобзик,"Здравствуйте, нужен лобзик , чтобы сделать вырез в столе .   На 1 сутки или даже если можно на пол суток )   Какая цена и условия . Стол тонкий , можно самый обычный лобзик"
244,244,нет такого инструмента,"Добрый день. Подскажите, пожалуйста, есть ли в аренду электрический рубанок шириной 20 мм, глубиной от 4 мм?"
245,245,не вопрос клиента,Здравствуйте
246,246,пылесос,"Добрый вечер, есть возможность проката пылесоса строительного на завтра?"
247,247,пылесос,Добрый вечер!  На завтра у Вас есть пылесос строительный для аренды?
249,249,не вопрос клиента,Здравствуйте для аренда
250,250,не вопрос клиента,Здравствуйте
251,251,лампа Лосева,Здравствуйте! Лампа Лосева есть в аренду? На месяц примерно
252,252,паркетно-шлифовальная машина,Доброе утро. Аренда циклевочной машины по паркету сколько будет стоить?
253,253,лобзик,"Здравствуйте,у вас есть лобзик?"
254,254,пылесос,"Добрый вечер, сколько стоит аренда строительного пылесоса?"
255,255,пушка электрическая,"Добрый вечер. Сколько у вас стоит аренда тепловой, электрической пушки для Помещения 5м2?"
256,256,лобзик,Добрый вечер  Сколько будет стоить аренда электролобзика на 2 суток? Что нужно для аренды?
257,257,перфоратор,Добрый вечер  Сколько будет стоить аренда перфоратора на 2 суток? Что нужно для аренды?
258,258,перфоратор,Здравствуйте!  Есть перфоратор?  На 3 дня
259,259,УШМ,Здравствуйте подскажите пожалуйста интересует большая болгарка с алмазным кругом по бетону
260,260,бензорез,Здравствуйте подскажите у вас есть в аренду бетонорез?
261,261,не вопрос клиента,День добрый.  Виброплиту выкупите? После одного объекта Champion PC9045F
262,262,перфоратор,Здравствуйте! Сколько стоит аренда перфоратора?
263,263,сварочный полуавтомат,"Здравствуйте, а у вас есть сварочный аппарат полуавтомат ?"
264,264,паяльник для ПВХ труб,Добрый день. Паяльная машина для полпроптленовых труб завтра можно взять?
